timestamp,x_robot_mm,y_robot_mm,z_robot_mm,angle_deg,pixel_size,area
1772375098.0714579,853.56,-85.72,620.93,15.95,111.4,6841
1772376979.7819018,848.79,-77.72,706.49,3.4,146.2,16958
1772377349.6667976,896.12,-73.78,616.56,4.4,110.1,10885
1772377472.6688917,899.65,-42.55,712.31,4.32,149.4,20141
1772377579.0271614,853.75,-52.63,722.51,3.99,155.3,18075
1772377693.6025016,871.28,-55.08,718.46,3.72,152.9,18359
1772441884.5177307,870.61,-114.45,711.88,2.23,149.2,5572
1772447421.6384885,897.79,-15.78,776.16,2.12,196.2,15943
1772447434.6138482,896.76,-222.87,229.63,86.82,53.3,1063
1772447439.349515,843.66,-33.89,738.8,2.64,165.8,21315
1772447461.2931428,892.64,-68.07,799.3,85.1,221.4,25447
1772447502.0704403,680.01,-138.49,609.63,0.0,108.0,4314
1772447507.1846135,750.9,-44.35,724.78,62.86,156.7,5442
1772448243.976636,843.05,-48.77,740.74,86.68,167.2,18930
1772448568.3386633,856.83,-28.08,673.01,5.31,130.3,12665
1772448964.8574307,845.31,-30.67,750.64,11.13,174.4,27697
1772449148.530514,856.24,-13.36,759.33,5.4,181.3,24606
1772450121.5936165,892.12,-63.45,604.14,82.87,106.4,1910
1772450139.4222102,886.56,-39.79,762.32,88.23,183.8,28120
1772450746.2551427,882.92,-51.44,704.63,59.04,145.3,18501
1772450850.727253,891.05,-45.35,710.93,88.26,148.7,9717
1772451363.883121,866.07,-56.9,733.9,1.83,162.5,20943
1772451833.8336287,207.59,-52.42,-293.52,23.45,136.3,16956
1772452766.349109,216.73,55.19,453.09,10.01,88.3,6578
1772452979.6666925,400.06,28.33,372.8,35.54,107.3,10312
1772452988.7482843,16.99,87.73,516.78,15.52,77.4,4938
1772452992.6489823,52.42,2.35,773.95,30.26,51.7,1868
1772452992.6489823,52.42,2.35,773.95,30.26,51.7,1868
1772453011.8307614,449.22,165.83,411.91,75.53,97.1,3173
1772453016.6299915,421.98,204.45,419.92,85.43,95.3,2116
1772453023.7436311,300.45,70.12,308.45,87.61,129.7,10709
1772453025.2866082,328.82,65.22,348.3,88.15,114.8,3524
1772453025.2866082,328.82,65.22,348.3,88.15,114.8,3524
1772453041.1785085,268.29,150.72,347.03,2.25,115.3,2948
1772453051.0482345,2.81,151.05,397.14,87.44,100.7,2473
1772455114.447055,219.04,176.57,343.25,6.19,116.5,4184
1772458121.7869508,188.81,121.27,373.11,2.97,107.2,9829
1772458201.9775243,473.57,85.87,423.88,77.12,94.4,4144
1772458313.5084255,328.26,54.79,485.26,82.33,82.4,3780
1772523701.7024448,151.68,67.65,366.41,7.55,109.2,3852
1772523727.931097,290.05,22.0,314.63,83.95,127.1,12068
1772523791.2332485,169.1,13.01,265.03,10.22,150.9,20969
1772523913.1451118,226.53,48.34,397.98,86.86,100.5,9361
1772541693.6492949,253.25,40.74,298.8,85.24,133.9,12676
1772611559.6145406,200.35,-243.27,497.25,34.16,80.4,3010
1772612572.0875525,308.27,200.82,597.01,0.0,67.0,3795
1772612921.0212839,235.67,201.98,951.3,7.13,42.0,1389
1772612945.4652843,243.02,229.04,878.64,88.15,45.5,1408
1772612981.215992,244.57,231.94,910.52,85.24,43.9,1561
1772613307.397092,348.75,218.74,588.24,0.0,68.0,4238
1772614866.1393573,40.7,60.5,200.0,45.0,55.2,1444
1772615008.7060022,310.2,234.26,200.0,6.98,73.5,4743
1772615052.631429,155.1,196.04,200.0,3.37,47.8,1064
1772615158.2451634,272.12,195.18,200.0,85.24,53.6,2493
1772615251.6191626,17.55,308.73,200.0,0.0,40.0,1057
