timestamp,x_robot_mm,y_robot_mm,z_robot_mm,angle_deg,pixel_size,area
1772011100.6419492,637.74,-29.11,701.76,73.32,407.2,40421
1772011100.6769567,639.8,-30.79,700.41,71.51,401.6,41277
1772011100.7152836,641.14,-31.75,700.67,71.31,402.7,39875
1772011100.7388291,642.18,-32.38,701.37,70.55,405.5,42667
1772011100.7736616,644.02,-33.5,699.81,71.38,399.3,43474
1772011100.8090346,645.15,-34.28,699.89,71.68,399.6,41200
1772011100.8394074,646.3,-34.75,699.13,71.57,396.5,45324
1772011100.8721395,647.68,-35.78,697.72,71.44,391.1,38775
1772011100.9215937,647.81,-35.67,698.82,71.89,395.3,45522
1772011101.7039695,655.67,-43.91,663.29,73.09,292.6,34989
1772011101.7452931,657.24,-45.14,659.25,73.0,284.2,35293
1772011101.7822504,657.1,-44.94,659.64,73.88,285.0,33671
1772011101.8122396,655.99,-44.12,662.5,72.08,290.9,36062
1772011101.8466673,656.79,-44.68,660.61,73.6,287.0,35905
1772011101.878766,657.03,-44.9,659.94,73.06,285.6,32023
1772011101.9087267,657.0,-44.92,659.94,73.06,285.6,32023
1772011101.9390726,656.25,-44.46,661.86,72.13,289.6,35079
1772011101.969277,656.44,-44.43,661.38,73.43,288.6,35777
1772011102.002796,655.34,-43.4,664.57,73.77,295.4,35656
1772011102.670264,659.93,-36.04,683.93,64.27,344.6,43677
1772011102.7028182,659.54,-35.49,684.76,63.54,347.1,39629
1772011102.9422786,656.66,-33.06,701.74,24.61,407.1,42453
1772011102.975272,657.61,-33.64,701.01,21.04,404.1,41492
1772011103.936544,658.42,-31.65,700.92,18.04,403.7,43371
1772011103.9686544,658.07,-32.34,700.18,50.77,400.7,41143
1772011104.003898,657.14,-31.84,702.68,18.16,411.0,42897
1772011105.437632,750.8,-86.65,555.42,41.46,163.5,6685
1772011105.4722228,749.71,-87.62,555.42,41.46,163.5,6685
1772011105.9358468,734.48,-85.21,571.8,40.56,175.3,8015
1772011105.970287,734.53,-85.53,571.05,42.17,174.7,7534
1772011106.0038714,732.78,-84.74,573.29,41.77,176.4,7715
1772013291.5944638,665.87,-56.57,519.92,84.92,142.8,17766
1772013291.6272972,664.85,-55.76,519.99,85.03,142.9,17819
1772013291.6632614,663.34,-54.57,519.94,84.69,142.8,17831
1772013291.6952298,661.32,-52.96,520.26,84.92,143.0,17803
1772013291.729099,659.07,-51.19,520.13,84.99,142.9,17803
1772013291.7627635,656.53,-49.18,520.16,85.03,142.9,17802
1772013291.796742,653.85,-47.06,519.99,85.03,142.9,17814
1772013291.830232,651.03,-44.83,519.99,85.03,142.9,17800
1772013291.8632975,648.18,-42.58,519.99,85.03,142.9,17779
1772013291.894014,645.33,-40.32,520.16,85.03,142.9,17752
1772013292.0976162,631.59,-29.72,519.65,85.03,142.7,17725
1772013292.1377425,630.02,-28.43,519.82,85.03,142.8,17716
1772013292.1681795,628.82,-27.43,518.7,83.83,142.2,17736
1772013292.1961231,627.71,-26.49,518.7,83.83,142.2,17743
1772013292.2285588,626.78,-25.69,518.78,83.66,142.2,17742
1772013292.2635787,625.94,-24.99,519.65,85.03,142.7,17726
1772013292.2952168,625.44,-24.58,518.63,83.99,142.2,17751
1772013292.329191,624.9,-24.12,519.55,84.9,142.6,17757
1772013292.3611894,624.55,-23.83,519.62,84.99,142.7,17750
1772013292.395335,624.27,-23.61,519.99,85.03,142.9,17758
1772013292.4292607,624.13,-23.5,519.82,85.03,142.8,17749
1772013292.4628992,624.05,-23.43,519.79,84.99,142.8,17760
1772013292.4935107,624.04,-23.42,519.66,84.81,142.7,17763
1772013292.526482,624.07,-23.45,519.48,84.81,142.6,17747
1772013292.5614948,624.2,-23.55,518.7,83.83,142.2,17767
1772013292.593563,624.19,-23.54,519.65,85.03,142.7,17740
1772013292.6274965,624.28,-23.62,519.65,85.03,142.7,17763
1772013292.6615005,624.39,-23.72,519.65,85.03,142.7,17772
1772013292.6965861,624.59,-23.89,518.63,83.99,142.2,17769
1772013292.7275176,624.7,-23.97,518.63,83.99,142.2,17762
1772013292.7623718,624.82,-24.06,518.63,83.99,142.2,17764
1772013292.7979302,624.9,-24.12,518.81,84.05,142.3,17752
1772013292.829737,625.0,-24.2,518.84,83.99,142.3,17765
1772013292.8627555,625.11,-24.29,518.63,83.99,142.2,17755
1772013292.8944635,625.11,-24.29,519.48,84.81,142.6,17743
1772013292.9274836,625.17,-24.34,519.66,84.81,142.7,17772
1772013292.9624858,625.3,-24.46,518.87,83.93,142.3,17775
1772013292.995839,625.36,-24.5,518.87,83.93,142.3,17767
1772013293.0274482,625.33,-24.48,519.66,84.81,142.7,17773
1772013293.0615008,625.47,-24.59,518.7,83.83,142.2,17777
