timestamp,x_robot_mm,y_robot_mm,z_robot_mm,angle_deg,pixel_size,area
1772100874.2755957,754.64,-71.97,489.21,8.37,128.7,5525
1772100877.8110874,752.65,-69.88,489.63,2.49,128.9,5815
1772100879.9295352,752.64,-69.91,488.27,12.53,128.3,5926
1772100882.1493232,759.72,-72.07,476.67,0.78,123.7,5178
1772100884.2898667,754.6,-70.79,482.15,10.3,125.8,5440
1772100886.466571,756.52,-67.09,467.54,75.82,120.3,4446
1772100888.6236844,757.56,-67.86,466.19,78.69,119.8,5088
1772100890.7538424,756.79,-68.91,469.31,78.18,121.0,4689
1772100894.6701722,747.17,-63.82,490.0,71.38,129.0,4930
1772100896.8407092,748.8,-64.51,489.27,77.76,128.7,5459
1772100900.4824567,749.47,-66.16,488.33,81.19,128.3,5813
1772100902.9796772,742.39,-61.66,503.06,78.18,134.7,5453
1772100905.1037788,754.22,-66.54,477.2,76.61,123.9,4919
1772100907.2103355,752.95,-65.12,475.01,68.68,123.1,4553
1772100909.3351772,777.15,-77.66,421.37,68.32,105.6,3479
1772100911.4466705,759.55,-71.32,454.11,70.27,115.6,3799
1772100914.210287,780.49,-83.15,415.13,85.68,103.9,2993
1772100916.6431072,758.7,-23.38,460.24,71.19,117.7,4096
1772100950.5443993,645.76,-51.75,499.52,84.47,133.1,16612
1772100952.657437,645.09,-47.17,499.93,84.56,133.3,16168
1772100954.7806697,640.18,-43.63,500.25,83.48,133.4,16225
1772100956.8806944,636.16,-41.87,500.39,84.47,133.5,16239
1772100959.0092807,634.1,-41.34,500.46,84.81,133.5,16177
1772100961.1521444,633.47,-41.47,500.15,83.66,133.4,16097
1772100963.2525234,633.47,-41.66,500.23,84.29,133.4,16187
1772100965.3647416,633.71,-41.86,499.89,84.4,133.3,16342
1772100967.4786775,633.78,-41.84,500.67,84.81,133.6,16265
1772100969.5768816,633.86,-41.9,500.46,84.56,133.5,16293
1772100971.7235203,633.93,-41.9,500.34,83.88,133.5,16310
1772100973.8304372,633.84,-41.74,501.07,84.81,133.8,16190
1772100976.0786955,633.92,-41.83,499.85,84.81,133.3,16167
1772100978.1913035,633.94,-41.89,500.06,84.81,133.4,16308
1772100980.30815,633.98,-41.94,499.86,83.88,133.3,16164
1772100982.4555705,633.92,-41.87,500.17,84.47,133.4,16206
1772100984.598816,633.99,-41.92,499.73,83.99,133.2,16125
1772100986.7115645,633.93,-41.88,500.15,83.66,133.4,16230
1772100988.8139243,634.05,-41.95,499.52,84.47,133.1,15968
1772100990.9451778,633.89,-41.76,500.67,84.81,133.6,16210
1772100993.0957513,634.01,-41.91,499.66,83.66,133.2,16149
1772100995.238244,633.94,-41.85,500.23,84.29,133.4,16334
1772100997.3666992,633.89,-41.8,500.45,84.29,133.5,16332
1772100999.5081954,633.89,-41.82,500.2,84.69,133.4,16162
1772101001.605369,633.91,-41.78,500.45,84.29,133.5,16170
1772101003.7771168,633.96,-41.87,499.9,84.09,133.3,16266
1772101009.2439082,728.4,84.14,533.33,0.0,150.0,9016
1772101011.6414652,712.39,-82.4,535.42,1.91,151.2,16545
1772101015.90749,728.41,2.03,533.71,70.48,150.2,5564
1772101018.1784809,735.78,1.91,539.78,22.33,153.7,6003
1772101020.322633,722.65,5.56,550.92,73.12,160.6,5798
1772101023.3762956,737.39,10.26,512.56,72.0,139.2,4950
1772101025.4722893,733.35,4.32,527.82,69.58,147.0,5102
1772101070.0745535,494.37,-91.78,360.44,0.0,91.0,3422
1772101072.250606,533.97,-66.41,525.8,10.3,145.9,5869
1772101074.6739779,496.47,-80.55,407.98,54.04,102.0,3324
1772101076.768119,523.58,-65.55,508.9,62.78,137.4,4455
1772101082.042023,496.54,15.23,330.06,60.46,85.1,2243
1772101084.14187,493.55,17.13,330.06,60.46,85.1,2530
1772101089.406577,499.91,16.14,347.27,59.32,88.4,2445
1772101093.0076003,498.47,23.98,365.13,60.95,92.0,2585
1772101095.8090148,509.59,-83.23,458.19,62.1,117.0,3311
1772101098.0177367,514.18,-77.29,469.18,66.34,120.9,3829
1772101100.2100196,518.15,-79.52,478.97,73.97,124.6,5246
